# units: altitude[m] ambient_pressure[Pa] thrust[N] thrust_ideal[N] thrust_momentum[N] thrust_pressure[N] isp[s] isp_ideal[s] cf[-] exit_pressure[Pa] exit_ambient_ratio[-] exit_mach[-] exit_velocity[m/s] separation_predicted[-] shock_in_nozzle[-] regime[-]
altitude,ambient_pressure,thrust,thrust_ideal,thrust_momentum,thrust_pressure,isp,isp_ideal,cf,exit_pressure,exit_ambient_ratio,exit_mach,exit_velocity,separation_predicted,shock_in_nozzle,regime
39500,307.2175186,165214.9381,165971.4982,155479.953,10491.54524,350.7085545,352.3145358,1.951374699,34384.38661,111.9219593,3.459541588,3236.623056,0,0,under-expanded
40000,287.1439555,165221.1183,165977.6784,155479.953,10497.72541,350.7216734,352.3276547,1.951447694,34384.38661,119.746162,3.459541588,3236.623056,0,0,under-expanded
40500,268.4847116,165226.863,165983.4231,155479.953,10503.47015,350.733868,352.3398493,1.951515546,34384.38661,128.0683224,3.459541588,3236.623056,0,0,under-expanded
41000,251.1329954,165232.2052,165988.7653,155479.953,10508.81232,350.7452081,352.3511894,1.951578643,34384.38661,136.9170409,3.459541588,3236.623056,0,0,under-expanded
41500,234.9906115,165237.1751,165993.7352,155479.953,10513.78218,350.7557578,352.3617391,1.951637343,34384.38661,146.3223845,3.459541588,3236.623056,0,0,under-expanded
42000,219.9672263,165241.8004,165998.3605,155479.953,10518.40752,350.7655762,352.3715575,1.951691973,34384.38661,156.315953,3.459541588,3236.623056,0,0,under-expanded
42500,205.9797004,165246.1068,166002.6669,155479.953,10522.71394,350.7747176,352.3806989,1.951742837,34384.38661,166.9309478,3.459541588,3236.623056,0,0,under-expanded
43000,192.9514799,165250.1179,166006.678,155479.953,10526.72502,350.7832321,352.3892134,1.951790212,34384.38661,178.2022436,3.459541588,3236.623056,0,0,under-expanded
43500,180.8120433,165253.8553,166010.4154,155479.953,10530.46246,350.7911657,352.397147,1.951834356,34384.38661,190.1664623,3.459541588,3236.623056,0,0,under-expanded
44000,169.4963967,165257.3392,166013.8993,155479.953,10533.94628,350.798561,352.4045423,1.951875503,34384.38661,202.8620507,3.459541588,3236.623056,0,0,under-expanded
44500,158.9446142,165260.5878,166017.1479,155479.953,10537.19492,350.805457,352.4114383,1.951913874,34384.38661,216.3293597,3.459541588,3236.623056,0,0,under-expanded
45000,149.101418,165263.6183,166020.1784,155479.953,10540.22541,350.8118899,352.4178712,1.951949667,34384.38661,230.6107284,3.459541588,3236.623056,0,0,under-expanded
45500,139.9157963,165266.4463,166023.0064,155479.953,10543.05344,350.8178931,352.4238744,1.951983069,34384.38661,245.7505695,3.459541588,3236.623056,0,0,under-expanded
46000,131.3406532,165269.0864,166025.6465,155479.953,10545.69352,350.8234973,352.4294786,1.952014252,34384.38661,261.7954592,3.459541588,3236.623056,0,0,under-expanded
46500,123.3324901,165271.5519,166028.112,155479.953,10548.15904,350.828731,352.4347123,1.952043372,34384.38661,278.79423,3.459541588,3236.623056,0,0,under-expanded
47000,115.8511138,165273.8553,166030.4154,155479.953,10550.46238,350.8336204,352.4396017,1.952070577,34384.38661,296.7980669,3.459541588,3236.623056,0,0,under-expanded
47500,108.8578208,165276.0083,166032.5684,155479.953,10552.61545,350.8381908,352.4441721,1.952096007,34384.38661,315.8651014,3.459541588,3236.623056,0,0,under-expanded
48000,102.295634,165278.0287,166034.5888,155479.953,10554.63579,350.8424794,352.4484607,1.95211987,34384.38661,336.1276064,3.459541588,3236.623056,0,0,under-expanded
48500,96.12996328,165279.9269,166036.487,155479.953,10556.53405,350.846509,352.4524903,1.95214229,34384.38661,357.6864636,3.459541588,3236.623056,0,0,under-expanded
49000,90.33679305,165281.7105,166038.2706,155479.953,10558.31763,350.850295,352.4562763,1.952163357,34384.38661,380.6243885,3.459541588,3236.623056,0,0,under-expanded
49500,84.89356575,165283.3863,166039.9464,155479.953,10559.99347,350.8538524,352.4598337,1.95218315,34384.38661,405.0293601,3.459541588,3236.623056,0,0,under-expanded
50000,79.779093,165284.961,166041.5211,155479.953,10561.56809,350.8571949,352.4631762,1.952201748,34384.38661,430.9949552,3.459541588,3236.623056,0,0,under-expanded
50500,74.97347234,165286.4405,166043.0006,155479.953,10563.04763,350.8603356,352.4663169,1.952219223,34384.38661,458.6207033,3.459541588,3236.623056,0,0,under-expanded
51000,70.45800903,165287.8307,166044.3908,155479.953,10564.43783,350.8632866,352.4692679,1.952235643,34384.38661,488.0124643,3.459541588,3236.623056,0,0,under-expanded
51500,66.21482169,165289.1371,166045.6972,155479.953,10565.74421,350.8660597,352.472041,1.952251073,34384.38661,519.2853464,3.459541588,3236.623056,0,0,under-expanded
52000,62.21474684,165290.3686,166046.9287,155479.953,10566.97573,350.8686739,352.4746552,1.952265618,34384.38661,552.6726115,3.459541588,3236.623056,0,0,under-expanded
52500,58.43819598,165291.5313,166048.0914,155479.953,10568.13844,350.8711421,352.4771234,1.952279351,34384.38661,588.3889131,3.459541588,3236.623056,0,0,under-expanded
53000,54.87369841,165292.6287,166049.1888,155479.953,10569.23587,350.8734716,352.4794529,1.952292313,34384.38661,626.6096073,3.459541588,3236.623056,0,0,under-expanded
53500,51.51031946,165293.6642,166050.2244,155479.953,10570.27137,350.8756697,352.481651,1.952304544,34384.38661,667.5242355,3.459541588,3236.623056,0,0,under-expanded
54000,48.33763783,165294.641,166051.2011,155479.953,10571.24816,350.8777432,352.4837245,1.952316081,34384.38661,711.3377517,3.459541588,3236.623056,0,0,under-expanded
54500,45.34572392,165295.5622,166052.1223,155479.953,10572.1693,350.8796985,352.4856798,1.95232696,34384.38661,758.2718643,3.459541588,3236.623056,0,0,under-expanded
55000,42.52511892,165296.4306,166052.9907,155479.953,10573.0377,350.8815419,352.4875232,1.952337217,34384.38661,808.566501,3.459541588,3236.623056,0,0,under-expanded
55500,39.86681468,165297.249,166053.8091,155479.953,10573.85613,350.8832792,352.4892605,1.952346884,34384.38661,862.4814119,3.459541588,3236.623056,0,0,under-expanded
56000,37.36223435,165298.0201,166054.5802,155479.953,10574.62723,350.8849161,352.4908974,1.952355991,34384.38661,920.2979216,3.459541588,3236.623056,0,0,under-expanded
56500,35.00321378,165298.7464,166055.3065,155479.953,10575.35351,350.8864578,352.4924391,1.95236457,34384.38661,982.3208472,3.459541588,3236.623056,0,0,under-expanded
57000,32.78198365,165299.4303,166055.9904,155479.953,10576.03738,350.8879095,352.4938908,1.952372647,34384.38661,1048.880598,3.459541588,3236.623056,0,0,under-expanded
57500,30.69115221,165300.074,166056.6341,155479.953,10576.68109,350.8892759,352.4952572,1.95238025,34384.38661,1120.335476,3.459541588,3236.623056,0,0,under-expanded
58000,28.72368879,165300.6797,166057.2398,155479.953,10577.28683,350.8905617,352.496543,1.952387404,34384.38661,1197.074194,3.459541588,3236.623056,0,0,under-expanded
58500,26.87290788,165301.2495,166057.8096,155479.953,10577.85664,350.8917713,352.4977526,1.952394134,34384.38661,1279.518642,3.459541588,3236.623056,0,0,under-expanded
59000,25.13245388,165301.7854,166058.3455,155479.953,10578.39248,350.8929088,352.4988901,1.952400463,34384.38661,1368.126916,3.459541588,3236.623056,0,0,under-expanded
59500,23.49628638,165302.2891,166058.8492,155479.953,10578.89622,350.8939781,352.4999594,1.952406413,34384.38661,1463.396643,3.459541588,3236.623056,0,0,under-expanded
60000,21.95866614,165302.7625,166059.3226,155479.953,10579.36962,350.894983,352.5009643,1.952412004,34384.38661,1565.868637,3.459541588,3236.623056,0,0,under-expanded
60500,20.51414152,165303.2072,166059.7673,155479.953,10579.81435,350.895927,352.5019083,1.952417257,34384.38661,1676.130906,3.459541588,3236.623056,0,0,under-expanded
61000,19.15753548,165303.6249,166060.185,155479.953,10580.23202,350.8968136,352.5027949,1.95242219,34384.38661,1794.823068,3.459541588,3236.623056,0,0,under-expanded
61500,17.88393316,165304.017,166060.5771,155479.953,10580.62413,350.897646,352.5036273,1.952426821,34384.38661,1922.641195,3.459541588,3236.623056,0,0,under-expanded
62000,16.68866987,165304.385,166060.9451,155479.953,10580.99212,350.8984271,352.5044084,1.952431168,34384.38661,2060.343148,3.459541588,3236.623056,0,0,under-expanded
62500,15.56731963,165304.7302,166061.2903,155479.953,10581.33736,350.89916,352.5051413,1.952435246,34384.38661,2208.754457,3.459541588,3236.623056,0,0,under-expanded
63000,14.51568418,165305.054,166061.6141,155479.953,10581.66113,350.8998472,352.5058286,1.95243907,34384.38661,2368.774781,3.459541588,3236.623056,0,0,under-expanded
63500,13.52978239,165305.3575,166061.9177,155479.953,10581.96467,350.9004916,352.5064729,1.952442655,34384.38661,2541.385043,3.459541588,3236.623056,0,0,under-expanded
64000,12.60584017,165305.642,166062.2021,155479.953,10582.24913,350.9010954,352.5070767,1.952446015,34384.38661,2727.655288,3.459541588,3236.623056,0,0,under-expanded
64500,11.74028074,165305.9085,166062.4686,155479.953,10582.51561,350.9016611,352.5076424,1.952449162,34384.38661,2928.753355,3.459541588,3236.623056,0,0,under-expanded
65000,10.92971536,165306.158,166062.7181,155479.953,10582.76517,350.9021908,352.5081721,1.95245211,34384.38661,3145.954446,3.459541588,3236.623056,0,0,under-expanded
65500,10.17093438,165306.3917,166062.9518,155479.953,10582.99878,350.9026867,352.508668,1.952454869,34384.38661,3380.6517,3.459541588,3236.623056,0,0,under-expanded
66000,9.460898779,165306.6103,166063.1704,155479.953,10583.21738,350.9031508,352.5091321,1.952457451,34384.38661,3634.367877,3.459541588,3236.623056,0,0,under-expanded
66500,8.796731919,165306.8147,166063.3748,155479.953,10583.42186,350.9035848,352.5095661,1.952459866,34384.38661,3908.768271,3.459541588,3236.623056,0,0,under-expanded
