# units: nozzle.expansion_ratio[-] performance.altitude[m] performance.isp[s] performance.isp_vacuum[s] performance.thrust[N] performance.cf[-] performance.exit_pressure[Pa] performance.exit_mach[-] performance.pressure_ratio[-] status[-]
nozzle.expansion_ratio,performance.altitude,performance.isp,performance.isp_vacuum,performance.thrust,performance.cf,performance.exit_pressure,performance.exit_mach,performance.pressure_ratio,status
90.35368344,10000,301.5924265,379.8331877,142076.8711,1.678088039,5011.770923,4.447885731,0.189124158,ok
90.35368344,30000,376.2989603,379.8331877,177270.2965,2.093762074,5011.770923,4.447885731,4.186832456,ok
90.35368344,80000,379.8300803,379.8331877,178933.7682,2.113409551,5011.770923,4.447885731,4761.897291,ok
99.31716712,0,52.43989891,381.2793661,24703.85892,0.2917804275,4446.020804,4.514129977,0.04387881375,ok
99.31716712,10000,295.2767766,381.2793661,139101.6379,1.642947181,4446.020804,4.514129977,0.1677750148,ok
99.31716712,30000,377.3945278,381.2793661,177786.4062,2.099857912,4446.020804,4.514129977,3.714204916,ok
99.31716712,80000,381.2759504,381.2793661,179614.9017,2.121454506,4446.020804,4.514129977,4224.353975,ok
109.1698679,0,21.22779493,382.6895868,10000.18044,0.1181134062,3944.585955,4.580837229,0.03893003656,ok
109.1698679,10000,288.1551613,382.6895868,135746.7234,1.603321858,3944.585955,4.580837229,0.1488528723,ok
109.1698679,30000,378.4193554,382.6895868,178269.1912,2.105560148,3944.585955,4.580837229,3.295306341,ok
109.1698679,80000,382.6858323,382.6895868,180279.0815,2.129299218,3944.585955,4.580837229,3747.91934,ok
120,0,-13.2554944,384.0649006,-6244.517445,-0.07375479174,3500.094977,4.648012886,0.03454325168,ok
120,10000,280.1522433,384.0649006,131976.6369,1.558792885,3500.094977,4.648012886,0.1320795634,ok
120,30000,379.3710433,384.0649006,178717.521,2.110855427,3500.094977,4.648012886,2.923978664,ok
120,80000,384.0607736,384.0649006,180926.8012,2.136949518,3500.094977,4.648012886,3325.589506,ok
