# units: altitude[m] ambient_pressure[Pa] thrust[N] thrust_ideal[N] thrust_momentum[N] thrust_pressure[N] isp[s] isp_ideal[s] cf[-] exit_pressure[Pa] exit_ambient_ratio[-] exit_mach[-] exit_velocity[m/s] separation_predicted[-] shock_in_nozzle[-] regime[-]
altitude,ambient_pressure,thrust,thrust_ideal,thrust_momentum,thrust_pressure,isp,isp_ideal,cf,exit_pressure,exit_ambient_ratio,exit_mach,exit_velocity,separation_predicted,shock_in_nozzle,regime
53500,51.51031946,173303.8488,174110.2432,165721.3634,8388.879822,367.8792183,369.5909851,2.046913854,12161.54833,236.0992605,3.973941466,3449.818291,0,0,under-expanded
54000,48.33763783,173306.0465,174112.441,165721.3634,8391.077605,367.8838837,369.5956504,2.046939813,12161.54833,251.5958346,3.973941466,3449.818291,0,0,under-expanded
54500,45.34572392,173308.1191,174114.5136,165721.3634,8393.150168,367.8882832,369.6000499,2.046964292,12161.54833,268.1961446,3.973941466,3449.818291,0,0,under-expanded
55000,42.52511892,173310.073,174116.4675,165721.3634,8395.10406,367.8924308,369.6041975,2.04698737,12161.54833,285.9850516,3.973941466,3449.818291,0,0,under-expanded
55500,39.86681468,173311.9145,174118.3089,165721.3634,8396.945524,367.8963397,369.6081065,2.047009119,12161.54833,305.0544275,3.973941466,3449.818291,0,0,under-expanded
56000,37.36223435,173313.6494,174120.0439,165721.3634,8398.6805,367.9000227,369.6117894,2.047029611,12161.54833,325.5037752,3.973941466,3449.818291,0,0,under-expanded
56500,35.00321378,173315.2836,174121.678,165721.3634,8400.314643,367.9034915,369.6152582,2.047048912,12161.54833,347.4409066,3.973941466,3449.818291,0,0,under-expanded
57000,32.78198365,173316.8223,174123.2167,165721.3634,8401.853337,367.9067578,369.6185245,2.047067086,12161.54833,370.9826855,3.973941466,3449.818291,0,0,under-expanded
57500,30.69115221,173318.2706,174124.6651,165721.3634,8403.3017,367.9098323,369.621599,2.047084193,12161.54833,396.255841,3.973941466,3449.818291,0,0,under-expanded
58000,28.72368879,173319.6335,174126.028,165721.3634,8404.664603,367.9127254,369.6244921,2.04710029,12161.54833,423.3978588,3.973941466,3449.818291,0,0,under-expanded
