# units: chamber.pressure[Pa] propellants.mixture_ratio[-] chamber.eta_c_star[-] nozzle.throat_radius[m] nozzle.expansion_ratio[-] propellants.fuel_temperature[K] cooling.wall_thickness[m] cooling.wall_conductivity[W/(m K)] cooling.channel_height[m] cooling.bartz_multiplier[-] performance.thrust[N] performance.isp[s] performance.isp_vacuum[s] performance.mdot[kg/s] performance.exit_pressure[Pa] chamber.temperature[K] chamber.c_star[m/s] cooling.max_wall_temperature[K] cooling.max_heat_flux[W/m^2] cooling.pressure_drop[Pa] cooling.outlet_temperature[K] cooling_energy_residual[-] wall_limit_exceeded[-] coolant_boiling[-] separation_predicted[-] shock_in_nozzle[-] status[-]
chamber.pressure,propellants.mixture_ratio,chamber.eta_c_star,nozzle.throat_radius,nozzle.expansion_ratio,propellants.fuel_temperature,cooling.wall_thickness,cooling.wall_conductivity,cooling.channel_height,cooling.bartz_multiplier,performance.thrust,performance.isp,performance.isp_vacuum,performance.mdot,performance.exit_pressure,chamber.temperature,chamber.c_star,cooling.max_wall_temperature,cooling.max_heat_flux,cooling.pressure_drop,cooling.outlet_temperature,cooling_energy_residual,wall_limit_exceeded,coolant_boiling,separation_predicted,shock_in_nozzle,status
5515768.95,3.418393766,0.9592956597,0.06982087297,19.9697933,108.8025624,0.0005784077043,303.9066552,0.004912310144,0.8082875208,134132.2956,284.9131152,350.7379363,48.00652171,34751.07373,3525.590778,1759.64981,684.0755189,42755329.98,2680943.365,423.3105383,6.479898641e-09,0,0,1,0,ok
5441216.6,3.41284376,0.9464608998,0.07006059299,19.99235749,108.7811352,0.0006467233469,297.8763741,0.004910064126,1.313357858,134847.9505,284.5460055,350.4613088,48.32492418,34185.82126,3523.313997,1736.290238,974.0101972,59334038.74,4752953.434,589.1918426,3.871068431e-09,1,0,1,0,ok
5322198.634,3.353254136,0.9387015446,0.06980812371,19.87696138,111.0664026,0.0005738575992,327.4099896,0.004871664882,1.195401888,131342.3642,283.7642647,350.3806836,47.19831034,33054.08279,3514.91078,1726.340387,885.3510893,56295558.54,4326703.227,555.90976,2.517472143e-09,1,0,1,0,ok
5436943.323,3.476931557,0.957392017,0.07001884715,20.16294543,112.9860028,0.0006163413623,317.909908,0.005017707869,0.9445029514,132905.271,283.4333849,350.5390475,47.81570094,34490.08073,3528.37935,1751.314178,769.9594831,47056063.49,2974696.451,477.9293507,3.457137911e-09,0,0,1,0,ok
5224746.668,3.486291054,0.9512498957,0.06998755693,19.91007009,113.1224439,0.0006104575906,305.6024714,0.004872976456,0.8786906368,127645.0694,281.4593991,349.9124255,46.24530117,33820.05475,3523.616001,1738.557928,726.8189242,43524747.94,2719811.36,455.2847418,1.000126916e-11,0,0,1,0,ok
5576487.372,3.348036673,0.9421350241,0.07025370068,19.99567743,111.704966,0.0005591279132,335.6927714,0.005190854587,0.8653725982,140099.5353,286.4834641,350.7232203,49.86736949,34252.85581,3520.517319,1733.933942,710.0609119,46341213.32,2781491.924,439.7552009,5.065758485e-09,0,0,1,0,ok
5309284.015,3.436415603,0.9654617349,0.07015280505,19.78804593,113.3352814,0.0005521429312,336.3427052,0.004890688776,0.9475363163,128507.7961,282.3932039,350.5147101,46.40390824,34093.32821,3522.43128,1768.973607,746.2137819,46675069.24,3029215.611,480.3096791,2.271824075e-09,0,0,1,0,ok
5461682.323,3.407994342,0.9641919424,0.07013064274,20.16040235,111.7765205,0.0005350951562,324.9557482,0.005059202414,1.112639344,132670.8873,283.656837,351.1405456,47.6937754,33893.92529,3523.716718,1769.417201,849.5599801,53229224.92,3583197.917,533.6507271,7.15719693e-10,1,0,1,0,ok
5481812.885,3.4293276,0.973421271,0.07006417162,19.97085167,109.0135132,0.0005923498082,315.8167626,0.005018970207,0.8469609003,131857.3262,283.8234772,350.9971518,47.37347829,34665.1453,3525.682338,1784.558505,705.4793222,43485751.79,2595437.371,440.2316618,1.907069556e-09,0,0,1,0,ok
5646543.497,3.430583398,0.9533923366,0.07008412158,19.90429646,110.0995668,0.0006143776061,324.387166,0.005130850732,1.069561106,140186.6295,286.8413492,350.5191048,49.83611302,35839.63752,3529.839974,1748.347099,843.8990472,53211556.93,3576832.143,514.2136283,2.879989635e-09,1,0,1,0,ok
5513602.581,3.434178617,0.9541968561,0.07014416359,20.05869096,111.4256963,0.0005940145427,306.4704647,0.005115611412,1.054624038,136134.4479,284.9077741,350.6566632,48.72401399,34721.76709,3527.090339,1749.143154,840.6746868,51433172,3367294.139,511.2332387,1.041660216e-10,1,0,1,0,ok
